"","community","region","country","latitude","longitude","type","scenario","resolution","daterange","unit","month","Min","Mean","Max","Sd"
"88","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2070-2079","C","April",0.7,4.9,9.3,1.6
"89","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2070-2079","C","May",5.3,8.5,11.8,1.5
"90","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2070-2079","C","June",8.4,12.8,17.7,1.7
"91","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2070-2079","C","July",12.3,14.8,18.5,1.5
"92","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2070-2079","C","August",12.2,14.5,17.4,1.4
"93","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2070-2079","C","September",9.3,11.7,14.8,1.3
"94","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2070-2079","C","October",5,7.9,12.4,1.6
"95","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2070-2079","C","November",-2.4,2.3,6.4,2.1
"96","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2070-2079","C","December",-4.8,0.1,5.8,2.8
"97","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2080-2089","C","January",-8.1,-0.8,4.1,2.7
"98","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2080-2089","C","February",-4.3,1,5.8,2.5
"99","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2080-2089","C","March",-3.3,1.7,6.2,2.3
"100","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2080-2089","C","April",1.4,5.4,9,1.7
"101","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2080-2089","C","May",5.7,8.6,11.1,1.2
"102","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2080-2089","C","June",10,13,17.6,1.6
"103","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2080-2089","C","July",12.3,14.9,18.1,1.5
"104","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2080-2089","C","August",11.9,14.2,16.6,1.2
"105","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2080-2089","C","September",9.5,11.5,15.3,1.2
"106","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2080-2089","C","October",4.7,7.6,9.5,1.2
"107","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2080-2089","C","November",-3.4,2.4,6,2.1
"108","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2080-2089","C","December",-5.5,-0.5,4.8,2.6
"109","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2090-2099","C","January",-6,-0.9,4.5,2.5
"110","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2090-2099","C","February",-6.8,1.7,7.5,3.1
"111","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2090-2099","C","March",-1.5,2.8,7.7,2
"112","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2090-2099","C","April",2.7,5.4,8.7,1.7
"113","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2090-2099","C","May",6.3,9,12,1.5
"114","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2090-2099","C","June",10,13.2,16.8,1.8
"115","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2090-2099","C","July",12.4,15.4,18.7,1.8
"116","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2090-2099","C","August",11.8,14.6,18.2,1.3
"117","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2090-2099","C","September",7.9,11.5,14.3,1.4
"118","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2090-2099","C","October",3.9,7.8,11.3,1.8
"119","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2090-2099","C","November",-4,2.5,6.5,2.6
"120","Yakutat","Alaska","US",59.547,-139.727,"Temperature","rcp45","2km","2090-2099","C","December",-6.2,0.3,5.2,2.6
