community,region,country,latitude,longitude,type,scenario,resolution,unit,DATE,PMAT
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2029-11-01,5.28
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2029-12-01,4.61
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2030-01-01,1.37
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2030-02-01,4.65
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2030-03-01,3.29
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2030-04-01,5.65
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2030-05-01,9.22
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2030-06-01,13.07
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2030-07-01,14.86
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2030-08-01,15.28
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2030-09-01,12.82
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2030-10-01,7.79
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2030-11-01,3.23
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2030-12-01,-0.58
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2031-01-01,1.19
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2031-02-01,0.59
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2031-03-01,0.84
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2031-04-01,5.72
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2031-05-01,9.84
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2031-06-01,13.35
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2031-07-01,16.03
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2031-08-01,14.15
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2031-09-01,11.42
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2031-10-01,7.4
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2031-11-01,-1.76
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2031-12-01,1.72
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2032-01-01,-2.33
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2032-02-01,3.01
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2032-03-01,0.71
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2032-04-01,5.05
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2032-05-01,6.86
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2032-06-01,11.02
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2032-07-01,13.25
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2032-08-01,13.1
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2032-09-01,10.66
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2032-10-01,4.19
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2032-11-01,0.36
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2032-12-01,-2.49
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2033-01-01,1.89
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2033-02-01,3.94
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2033-03-01,0.4
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2033-04-01,2.01
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2033-05-01,7.78
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2033-06-01,13.67
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2033-07-01,15
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2033-08-01,15.09
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2033-09-01,12.16
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2033-10-01,8.26
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2033-11-01,0.41
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2033-12-01,-1.12
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2034-01-01,4.47
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2034-02-01,-2.15
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2034-03-01,1
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2034-04-01,4.62
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2034-05-01,9.72
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2034-06-01,11.74
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2034-07-01,14.7
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2034-08-01,14.28
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2034-09-01,12.14
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2034-10-01,6.79
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2034-11-01,2.02
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2034-12-01,2.39
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2035-01-01,4.06
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2035-02-01,3.35
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2035-03-01,3.77
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2035-04-01,5.6
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2035-05-01,9.9
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2035-06-01,13.8
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2035-07-01,15.45
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2035-08-01,14.5
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2035-09-01,10.23
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2035-10-01,8.11
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2035-11-01,2.38
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2035-12-01,1.35
