"","pond_name","Decade","Scenario","Model","month","mean_med_temp"
"205","CAN","2030s","8.5","CRD85",1,6.09780255580892
"206","CAN","2030s","8.5","CRD85",2,5.1233069132811
"207","CAN","2030s","8.5","CRD85",3,5.35165405017215
"208","CAN","2030s","8.5","CRD85",4,6.46025602226423
"209","CAN","2030s","8.5","CRD85",5,9.20564564131626
"210","CAN","2030s","8.5","CRD85",6,12.0987808182542
"211","CAN","2030s","8.5","CRD85",7,14.5472820473888
"212","CAN","2030s","8.5","CRD85",8,15.6783280454136
"213","CAN","2030s","8.5","CRD85",9,15.2925386857257
"214","CAN","2030s","8.5","CRD85",10,13.5515680668324
"215","CAN","2030s","8.5","CRD85",11,9.70410641621669
"216","CAN","2030s","8.5","CRD85",12,7.93664774004622
"217","CAN","2060s","4.5","CRD45",1,8.7619031392927
"218","CAN","2060s","4.5","CRD45",2,7.80374089476841
"219","CAN","2060s","4.5","CRD45",3,7.23575083622071
"220","CAN","2060s","4.5","CRD45",4,10.5348171330628
"221","CAN","2060s","4.5","CRD45",5,12.8968491994386
"222","CAN","2060s","4.5","CRD45",6,14.6788163801672
"223","CAN","2060s","4.5","CRD45",7,16.4696613197108
"224","CAN","2060s","4.5","CRD45",8,17.1420156135078
"225","CAN","2060s","4.5","CRD45",9,16.3987993258577
"226","CAN","2060s","4.5","CRD45",10,14.5296418422763
"227","CAN","2060s","4.5","CRD45",11,11.7047592012107
"228","CAN","2060s","4.5","CRD45",12,9.4842523995448
"229","CAN","2060s","8.5","CRD85",1,9.51548053318439
"230","CAN","2060s","8.5","CRD85",2,8.27788323274061
"231","CAN","2060s","8.5","CRD85",3,8.64582164585848
"232","CAN","2060s","8.5","CRD85",4,10.1035915196145
"233","CAN","2060s","8.5","CRD85",5,12.8705768391378
"234","CAN","2060s","8.5","CRD85",6,15.0594136270177
"235","CAN","2060s","8.5","CRD85",7,17.9648830282962
"236","CAN","2060s","8.5","CRD85",8,18.37338641596
"237","CAN","2060s","8.5","CRD85",9,17.4934749303733
"238","CAN","2060s","8.5","CRD85",10,17.8256580793129
"239","CAN","2060s","8.5","CRD85",11,14.7517523737675
"240","CAN","2060s","8.5","CRD85",12,11.9490844420905
"241","CAN","2090s","4.5","CRD45",1,10.5228534344523
"242","CAN","2090s","4.5","CRD45",2,8.8496487563715
"243","CAN","2090s","4.5","CRD45",3,8.81217641099913
"244","CAN","2090s","4.5","CRD45",4,12.0020288232873
"245","CAN","2090s","4.5","CRD45",5,14.0702695385708
"246","CAN","2090s","4.5","CRD45",6,15.8719466602414
"247","CAN","2090s","4.5","CRD45",7,17.5207673780977
"248","CAN","2090s","4.5","CRD45",8,18.4453346889345
"249","CAN","2090s","4.5","CRD45",9,17.508312203698
"250","CAN","2090s","4.5","CRD45",10,15.7085619436699
"251","CAN","2090s","4.5","CRD45",11,13.5571844972537
"252","CAN","2090s","4.5","CRD45",12,12.2483487599355
"253","CAN","2090s","8.5","CRD85",1,13.5572719191139
"254","CAN","2090s","8.5","CRD85",2,11.0984702070461
"255","CAN","2090s","8.5","CRD85",3,11.8611871155241
"256","CAN","2090s","8.5","CRD85",4,13.605094380837
"257","CAN","2090s","8.5","CRD85",5,16.3886435016062
"258","CAN","2090s","8.5","CRD85",6,17.6121960063082
"259","CAN","2090s","8.5","CRD85",7,20.7979992973099
"260","CAN","2090s","8.5","CRD85",8,20.581709481555
"261","CAN","2090s","8.5","CRD85",9,19.6266963995336
"262","CAN","2090s","8.5","CRD85",10,21.4863118565756
"263","CAN","2090s","8.5","CRD85",11,17.6195664183082
"264","CAN","2090s","8.5","CRD85",12,15.0766146367027
