year,month,model,temperature,rcp,site,date
2017,May,Model1,3.5558819493159,4.5,CRD,2017-05-01
2017,Jun,Model1,6.09096875727746,4.5,CRD,2017-06-01
2017,Jul,Model1,9.04153556804418,4.5,CRD,2017-07-01
2017,Aug,Model1,10.8321935991239,4.5,CRD,2017-08-01
2017,Sep,Model1,10.9214149855848,4.5,CRD,2017-09-01
2017,Oct,Model1,8.28287491254337,4.5,CRD,2017-10-01
2017,Nov,Model1,4.63684501612313,4.5,CRD,2017-11-01
2017,Dec,Model1,1.40520862189356,4.5,CRD,2017-12-01
2018,Jan,Model1,0.892276776199223,4.5,CRD,2018-01-01
2013,May,Model1,1.01,4.5,CRD,2013-05-01
2018,Feb,Model1,0.00942384345430708,4.5,CRD,2018-02-01
2018,Mar,Model1,0.0134321878281712,4.5,CRD,2018-03-01
2018,Apr,Model1,1.62751359458513,4.5,CRD,2018-04-01
2018,May,Model1,4.42386530586361,4.5,CRD,2018-05-01
2018,Jun,Model1,7.7437083580841,4.5,CRD,2018-06-01
2018,Jul,Model1,10.0192937701245,4.5,CRD,2018-07-01
2018,Aug,Model1,11.2158135924809,4.5,CRD,2018-08-01
2018,Sep,Model1,10.6715041309401,4.5,CRD,2018-09-01
2018,Oct,Model1,7.76609512582658,4.5,CRD,2018-10-01
2018,Nov,Model1,4.30913033865063,4.5,CRD,2018-11-01
2013,Jun,Model1,6.52,4.5,CRD,2013-06-01
2018,Dec,Model1,1.93578365374681,4.5,CRD,2018-12-01
2019,Jan,Model1,-0.459878259957897,4.5,CRD,2019-01-01
2019,Feb,Model1,1.10444545411795,4.5,CRD,2019-02-01
2019,Mar,Model1,1.7423015301227,4.5,CRD,2019-03-01
2019,Apr,Model1,1.77684964305516,4.5,CRD,2019-04-01
2019,May,Model1,4.18357507160459,4.5,CRD,2019-05-01
2019,Jun,Model1,7.67799508067413,4.5,CRD,2019-06-01
2019,Jul,Model1,9.96726525862298,4.5,CRD,2019-07-01
2019,Aug,Model1,11.636753093167,4.5,CRD,2019-08-01
