"","Date","Airport","Air_MonthAvg","Air_MonthMax","Air_MonthMin","Region","NA","MP1","MP3","PL3","PL2","UBP3","MP5","MP8","UBP1","UBP2","PL1","UBP4","std","precision"
"48",2015-12-01,"YAKUTAT AIRPORT",-0.05,7.2,-12.1,"YF",NA,-0.03,NA,NA,NA,NA,NA,2.1,NA,-0.36,-0.2,NA,4.825,0.0429541732663964
"49",2016-01-01,"YAKUTAT AIRPORT",2.02,9.4,-8.8,"YF",NA,-0.16,NA,NA,NA,NA,NA,1.4,NA,-0.23,-0.51,NA,4.55,0.0483033450066417
"50",2016-02-01,"YAKUTAT AIRPORT",2.87,8.9,-8.8,"YF",NA,0.19,NA,NA,NA,NA,NA,1.42,NA,0.38,-0.21,NA,4.425,0.0510708927830444
"51",2016-03-01,"YAKUTAT AIRPORT",3.89,13.9,-6.6,"YF",NA,1.25,NA,NA,NA,NA,NA,2.45,NA,4.94,2.75,NA,5.125,0.0380725758477097
"52",2016-04-01,"YAKUTAT AIRPORT",5.86,17.8,-2.1,"YF",NA,7.42,NA,NA,NA,NA,NA,5.74,NA,10.44,8.49,NA,4.975,0.0404030201257544
"53",2016-05-01,"YAKUTAT AIRPORT",9.3,23.9,0,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,10.83,12.67,NA,5.975,0.0280107140981425
"54",2016-06-01,"YAKUTAT AIRPORT",12.1,26.7,2.8,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.975,0.0280107140981425
"55",2016-07-01,"YAKUTAT AIRPORT",14.1,23.9,6.7,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,0.0540832882639265
"56",2016-08-01,"YAKUTAT AIRPORT",14.28,25.6,5,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.15,0.0377038363653502
"57",2016-09-01,"YAKUTAT AIRPORT",10.03,20,-2.1,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7,NA,NA,5.525,0.0327593620114248
"58",2016-10-01,"YAKUTAT AIRPORT",4.95,15.6,-4.3,"YF",NA,5.86,NA,NA,NA,NA,4.62,NA,NA,6.09,NA,NA,4.975,0.0404030201257544
"59",2016-11-01,"YAKUTAT AIRPORT",2.74,12.2,-9.9,"YF",NA,4.18,NA,NA,NA,NA,4.06,NA,NA,5.2,NA,NA,5.525,0.0327593620114248
"60",2016-12-01,"YAKUTAT AIRPORT",-2.01,8.3,-16,"YF",NA,2.92,NA,NA,NA,NA,2.09,NA,NA,3.39,NA,NA,6.075,0.0270961404934885
"61",2017-01-01,"YAKUTAT AIRPORT",-2.33,7.2,-16,"YF",NA,1.37,NA,NA,NA,NA,0.96,NA,NA,1.81,NA,NA,5.8,0.0297265160523187
"62",2017-02-01,"YAKUTAT AIRPORT",-1.28,7.8,-11.6,"YF",NA,0.7,NA,NA,NA,NA,0.64,NA,NA,1.31,NA,NA,4.85,0.0425124880433627
"63",2017-03-01,"YAKUTAT AIRPORT",-3.15,7.2,-19.3,"YF",NA,0.39,NA,NA,NA,NA,0.35,NA,NA,0.61,NA,NA,6.625,0.0227839088643645
"64",2017-04-01,"YAKUTAT AIRPORT",5.25,17.2,-5.5,"YF",NA,1.91,NA,NA,NA,NA,0.67,NA,NA,3.2,NA,NA,5.675,0.0310504764307477
"65",2017-05-01,"YAKUTAT AIRPORT",7.42,18.9,-2.1,"YF",NA,9.33,NA,NA,NA,NA,7.55,NA,NA,8.07,NA,NA,5.25,0.036281179138322
"66",2017-06-01,"YAKUTAT AIRPORT",11.11,22.2,1.1,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.275,0.0359380966285573
"67",2017-07-01,"YAKUTAT AIRPORT",13.37,24.4,5.6,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,0.0452693526482571
"68",2017-08-01,"YAKUTAT AIRPORT",12.95,19.4,4.4,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,0.0711111111111111
"69",2017-09-01,"YAKUTAT AIRPORT",10.64,23.3,1.7,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,0.0342935528120713
"70",2017-10-01,"YAKUTAT AIRPORT",5.99,14.4,-2.8,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,0.0540832882639265
"71",2017-11-01,"YAKUTAT AIRPORT",-0.6,10.6,-15.5,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.525,0.0234876176215851
"72",2017-12-01,"YAKUTAT AIRPORT",-0.28,10.6,-15,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,0.0244140625
"73",2018-01-01,"YAKUTAT AIRPORT",0.32,11.7,-14.4,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.525,0.0234876176215851
"74",2018-02-01,"YAKUTAT AIRPORT",-2.72,6.1,-17.1,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,0.0297265160523187
"75",2018-03-01,"YAKUTAT AIRPORT",0.68,10,-17.1,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.775,0.0217861957217358
"76",2018-04-01,"YAKUTAT AIRPORT",3.84,13.9,-8.2,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.525,0.0327593620114248
"77",2018-05-01,"YAKUTAT AIRPORT",7.89,20.6,-0.5,"YF",NA,12.15,5.64,NA,NA,NA,NA,12.27,NA,NA,NA,NA,5.275,0.0359380966285573
"78",2018-06-01,"YAKUTAT AIRPORT",11.02,22.8,1.7,"YF",NA,15.06,8.1,NA,15.66,NA,NA,15.06,NA,NA,NA,NA,5.275,0.0359380966285573
"79",2018-07-01,"YAKUTAT AIRPORT",13.88,24.4,3.9,"YF",NA,17.66,10.04,NA,17.65,NA,NA,17.3,NA,NA,NA,NA,5.125,0.0380725758477097
"80",2018-08-01,"YAKUTAT AIRPORT",13.66,18.3,3.9,"YF",NA,15.87,10.66,NA,15.22,NA,NA,15.47,NA,NA,NA,NA,3.6,0.0771604938271605
"81",2018-09-01,"YAKUTAT AIRPORT",10.3,23.9,-0.5,"YF",NA,12.92,8.19,NA,12.57,NA,NA,10.26,NA,NA,NA,NA,6.1,0.0268744961031981
"82",2018-10-01,"YAKUTAT AIRPORT",8.1,18.9,-3.2,"YF",NA,8.6,6.34,7.99,7.93,7.77,NA,7.52,7.65,7.89,7.24,4.62,5.525,0.0327593620114248
"83",2018-11-01,"YAKUTAT AIRPORT",3.71,11.1,-6,"YF",NA,4.22,5.11,4.43,4.11,5.24,NA,3.75,4.85,5.39,4.18,4.86,4.275,0.0547176909134434
"84",2018-12-01,"YAKUTAT AIRPORT",1.79,9.4,-6.6,"YF",NA,2.73,4.38,2.96,1.68,4.22,NA,2,2.93,4.5,3.34,3.56,4,0.0625
"85",2019-01-01,"YAKUTAT AIRPORT",-2,8.3,-16.6,"YF",NA,1.1,2.8,1.35,-0.21,3.13,NA,0.68,0.78,2.71,1.3,2.89,6.225,0.025806035386526
"86",2019-02-01,"YAKUTAT AIRPORT",-1.78,8.3,-13.2,"YF",NA,0.91,2.23,0.69,-0.7,3.07,NA,0.01,0.24,1.83,0.81,3.4,5.375,0.0346133044889129
"87",2019-03-01,"YAKUTAT AIRPORT",3.65,15.6,-10.5,"YF",NA,0.99,1.67,1.19,0.33,3.05,NA,-0.03,0.89,1.78,0.81,3.76,6.525,0.0234876176215851
"88",2019-04-01,"YAKUTAT AIRPORT",4.79,16.1,-3.2,"YF",NA,4.9,2.42,6.04,6.83,7.84,NA,3.29,7.27,6.43,5.06,8.86,4.825,0.0429541732663964
"89",2019-05-01,"YAKUTAT AIRPORT",9.11,18.9,-1,"YF",NA,12.85,5.2,13.04,13.91,12.96,NA,12.82,13.08,11.61,11.46,14.25,4.975,0.0404030201257544
"90",2019-06-01,"YAKUTAT AIRPORT",12.78,30.6,3.9,"YF",NA,16.78,12.54,16.3,15.82,16.04,15.63,16.56,15.5,14.44,13.6,18.01,6.675,0.022443855293243
"91",2019-07-01,"YAKUTAT AIRPORT",15.31,25,9.4,"YF",NA,19.52,15.52,19.46,18.9,17.47,17.45,18.72,17.02,16.39,17.04,19.78,3.9,0.0657462195923734
"92",2019-08-01,"YAKUTAT AIRPORT",13.87,26.7,0.6,"YF",NA,17.7,13.43,17.14,16.53,16.01,15.19,16.7,14.75,14.63,14.93,18.22,6.525,0.0234876176215851
"93",2019-09-01,"YAKUTAT AIRPORT",10.83,20,-1,"YF",NA,13.92,10.36,13.69,12.87,12.36,11.56,12.85,11.59,11.51,NA,14.08,5.25,0.036281179138322
"94",2019-10-01,"YAKUTAT AIRPORT",5.71,13.3,-3.2,"YF",NA,8.65,5.88,7.85,6.87,6.62,7.29,7.72,6.62,6.67,NA,6.76,4.125,0.0587695133149679
"95",2019-11-01,"YAKUTAT AIRPORT",3.91,10,-7.7,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.425,0.0510708927830445
"96",2019-12-01,"YAKUTAT AIRPORT",3.13,13.3,-4.3,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,0.0516528925619835
