STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,3/9/2001,5,13.2,0,0,3.9,4.4,3.3,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,3/10/2001,2.7,29.2,0,25,2.8,5,0.6,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,3/11/2001,5.2,32.3,0,25,3.3,4.4,2.2,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,3/12/2001,3.1,16.5,0,0,2.8,3.9,1.1,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,3/13/2001,1.9,2.8,0,0,2.8,4.4,0.6,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,3/14/2001,5.8,0.3,0,0,3.3,5.6,0.6,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,3/15/2001,4.4,10.2,0,0,3.9,5.6,2.2,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,3/16/2001,1.7,15,0,0,1.7,3.9,-1.1,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,3/17/2001,0.8,0,0,0,1.1,6.7,-4.4,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,3/18/2001,3.4,0,0,0,-1.7,2.2,-5.6,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,3/19/2001,3.8,0,0,0,-3.9,-0.6,-7.8,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,3/20/2001,1.2,0,0,0,-6.1,0,-12.2,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,3/21/2001,0.4,0,0,0,-5.6,0.6,-12.2,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,3/22/2001,5.9,0,3,0,-2.2,-1.1,-3.9,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,3/23/2001,1.4,0,0,0,-1.7,5,-8.3,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,3/24/2001,2.2,0.3,0,0,2.8,6.7,-1.1,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,3/25/2001,2.2,3,0,0,6.1,8.9,2.8,0
