,community,region,country,latitude,longitude,type,scenario,resolution,daterange,unit,month,Min,Mean,Max,Sd,cru32 2km historical mean,delta,maxdelta,mindelta
107,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2080-2089,C,November,-0.8,4.5,8.1,2,-0.3,4.8,8.4,-0.5
108,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2080-2089,C,December,-3.6,2.2,6.3,2.4,-2.6,4.8,8.9,-1
109,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2090-2099,C,January,-6.1,1.5,6.5,2.8,-3.9,5.4,10.4,-2.2
110,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2090-2099,C,February,-3.4,3.9,10.3,3.4,-2,5.9,12.3,-1.4
111,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2090-2099,C,March,-2,4.6,9.7,2.9,-0.7,5.3,10.4,-1.3
112,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2090-2099,C,April,2,7,11.4,2.1,2.4,4.6,9,-0.4
113,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2090-2099,C,May,7,10.8,15.2,1.9,6.3,4.5,8.9,0.7
114,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2090-2099,C,June,9.8,15,19.5,2.3,9.8,5.2,9.7,0
115,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2090-2099,C,July,13.3,17.1,20.5,2,12,5.1,8.5,1.3
116,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2090-2099,C,August,13.1,16.5,20.9,2.1,11.8,4.7,9.1,1.3
117,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2090-2099,C,September,10.1,13.5,18.2,2.1,8.9,4.6,9.3,1.2
118,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2090-2099,C,October,6.5,9.5,14.3,1.8,5,4.5,9.3,1.5
119,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2090-2099,C,November,0.8,5,9.3,1.9,-0.3,5.3,9.6,1.1
120,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp85,2km,2090-2099,C,December,-3.3,2.3,7.2,2.2,-2.6,4.9,9.8,-0.7
