"","Month-Year","Airport","Air_MonthAvg","Air_MonthMax","Air_MonthMin","Region","MP1","MP3","PL3","PL2","UBP3","MP5","MP8","UBP1","UBP2","PL1","UBP4"
"64","11-2014","YAKUTAT AIRPORT",1.12,7.8,-10.5,"YF",NA,NA,5.14,NA,4.52,NA,NA,5.04,5.76,NA,NA
"65","11-2015","YAKUTAT AIRPORT",1.48,8.3,-12.2,"YF",5.45,NA,NA,NA,NA,NA,5.35,NA,5.35,4.61,NA
"66","11-2016","YAKUTAT AIRPORT",2.74,12.2,-9.9,"YF",4.77,NA,NA,NA,NA,5.23,NA,NA,6.33,NA,NA
"67","11-2018","YAKUTAT AIRPORT",3.71,11.1,-6,"YF",5.41,5.57,5.54,6.58,7.17,NA,5.38,7.42,6.51,6.26,7.89
"68","12-2012","YAKUTAT AIRPORT",-3.89,5,-16.7,"YF",0.23,1.55,-0.06,-0.06,0.78,1.11,1.22,0.12,0.23,NA,NA
"69","12-2013","YAKUTAT AIRPORT",-2.52,5.6,-16,"YF",NA,0.23,0.89,0.12,NA,2.94,1.87,NA,0.23,0.12,NA
"70","12-2014","YAKUTAT AIRPORT",0.99,7.8,-12.1,"YF",NA,NA,4.21,NA,2.3,NA,NA,4.31,4.31,NA,NA
"71","12-2015","YAKUTAT AIRPORT",-0.05,7.2,-12.1,"YF",0.89,NA,NA,NA,NA,NA,2.94,NA,3.37,3.22,NA
"72","12-2016","YAKUTAT AIRPORT",-2.01,8.3,-16,"YF",3.75,NA,NA,NA,NA,3.06,NA,NA,4.3,NA,NA
"73","12-2018","YAKUTAT AIRPORT",1.79,9.4,-6.6,"YF",4.06,4.97,4.87,4.64,5.26,NA,3.91,4.97,5.23,4.45,5.54
