"","Date","Airport","Air_MonthAvg","Air_MonthMax","Air_MonthMin","Region","TIN","CAB","TIS","SQR","EYS","RHM","BVS","CAN","WDD"
"71",2017-04-01,"CORDOVA AIRPORT",4.27,16.1,-5.5,"CR",NA,3.12,14.53,NA,NA,7.89,NA,13.65,7.68
"72",2017-05-01,"CORDOVA AIRPORT",6.4,21.7,-3.8,"CR",NA,13.88,19.65,NA,NA,11.13,NA,21.38,16.81
"73",2017-06-01,"CORDOVA AIRPORT",10.48,21.7,1.1,"CR",NA,16.44,21.34,NA,21.66,12.05,NA,22.72,18.33
"74",2017-07-01,"CORDOVA AIRPORT",12.55,22.8,3.3,"CR",NA,18.84,23.71,NA,25.61,12.82,NA,25.51,20.04
"75",2017-08-01,"CORDOVA AIRPORT",12.03,25,2.2,"CR",NA,19.29,22.82,NA,26.59,12.73,NA,26.39,21
"76",2017-09-01,"CORDOVA AIRPORT",9.49,17.8,0,"CR",NA,11.1,14.27,NA,15.09,10.42,NA,14.71,13.08
"77",2017-10-01,"CORDOVA AIRPORT",4.4,13.9,-7.1,"CR",NA,9.04,10.52,NA,11.53,8.44,NA,11.53,10.55
"78",2017-11-01,"CORDOVA AIRPORT",-1.54,12.2,-13.8,"CR",NA,4.09,5.1,NA,NA,4.22,NA,NA,NA
"79",2017-12-01,"CORDOVA AIRPORT",-0.34,10,-15.5,"CR",NA,2.72,4.48,NA,NA,2.29,NA,NA,NA
"80",2018-01-01,"CORDOVA AIRPORT",-1.48,10.6,-14.9,"CR",NA,1.18,1.53,NA,NA,1.07,NA,NA,NA
"81",2018-02-01,"CORDOVA AIRPORT",-3.75,8.3,-19.3,"CR",NA,0.14,0.99,NA,NA,1.64,NA,NA,NA
"82",2018-03-01,"CORDOVA AIRPORT",-0.1,8.9,-13.8,"CR",NA,1.8,3.19,NA,NA,4.4,NA,NA,NA
"83",2018-04-01,"CORDOVA AIRPORT",3.23,13.9,-7.7,"CR",NA,4.12,9.83,NA,NA,10.12,NA,NA,NA
"84",2018-05-01,"CORDOVA AIRPORT",6.37,18.3,-2.7,"CR",NA,11.37,16.08,NA,NA,11.44,NA,NA,NA
"85",2018-06-01,"CORDOVA AIRPORT",10.43,20,0,"CR",NA,16.23,22.49,NA,21.57,13.55,NA,21.76,20.42
"86",2018-07-01,"CORDOVA AIRPORT",12.96,26.7,3.3,"CR",NA,20.17,NA,NA,24.06,15.29,NA,25.12,23.29
"87",2018-08-01,"CORDOVA AIRPORT",12,22.2,2.2,"CR",NA,17.89,NA,NA,21.28,13.57,NA,22.43,20.33
"88",2018-09-01,"CORDOVA AIRPORT",10.16,23.9,-1,"CR",NA,14.03,NA,NA,18.9,11.69,NA,19.57,18.81
"89",2018-10-01,"CORDOVA AIRPORT",7.12,16.1,-6,"CR",NA,9.46,NA,NA,12.3,8.59,NA,12.98,12.98
"90",2018-11-01,"CORDOVA AIRPORT",2.61,11.7,-8.8,"CR",NA,4.84,NA,NA,6.67,4.95,NA,6.17,5.55
"91",2018-12-01,"CORDOVA AIRPORT",1.66,8.9,-6.6,"CR",NA,4.35,NA,NA,4.83,4.56,NA,4.73,4.42
"92",2019-01-01,"CORDOVA AIRPORT",-2.62,8.3,-18.8,"CR",NA,1.45,NA,NA,3.26,1.4,NA,2.3,1.66
"93",2019-02-01,"CORDOVA AIRPORT",-2.65,6.7,-15.5,"CR",NA,0.52,NA,NA,3.47,0.63,NA,1.98,1.55
"94",2019-03-01,"CORDOVA AIRPORT",3.62,16.1,-10.5,"CR",NA,3.38,NA,NA,5.45,7.37,NA,1.11,5.86
"95",2019-04-01,"CORDOVA AIRPORT",4.34,15,-3.8,"CR",NA,9.46,NA,NA,14.61,12.68,NA,14.9,11.24
"96",2019-05-01,"CORDOVA AIRPORT",8.41,18.9,-1,"CR",NA,14.1,NA,NA,18.71,16.96,NA,19.66,16.9
"97",2019-06-01,"CORDOVA AIRPORT",12.63,26.1,2.8,"CR",NA,NA,NA,NA,26.59,20.15,NA,28.46,25.42
"98",2019-07-01,"CORDOVA AIRPORT",14.82,24.4,7.2,"CR",NA,NA,NA,NA,27.57,20.51,NA,29.75,26.98
"99",2019-08-01,"CORDOVA AIRPORT",13.73,28.9,0.6,"CR",NA,NA,NA,NA,24.25,14.43,NA,25.9,23.48
"100",2019-09-01,"CORDOVA AIRPORT",10.55,19.4,-1,"CR",NA,NA,NA,NA,17.76,NA,NA,18.81,17.95
"101",2019-10-01,"CORDOVA AIRPORT",5.78,14.4,-4.3,"CR",NA,NA,NA,NA,11.82,NA,NA,11.92,11.33
