"","Month-Year","Airport","Air_MonthAvg","Air_MonthMax","Air_MonthMin","Region","TDN","Cabin","TDS","Square","EyakS","RHM","BeaverS","CanneryControl","Wooded"
"57","07-2018","CORDOVA AIRPORT",12.96,26.7,3.3,"CR",NA,20.17,NA,NA,24.06,15.29,NA,25.12,23.29
"58","07-2019","CORDOVA AIRPORT",14.82,24.4,7.2,"CR",NA,NA,NA,NA,27.57,20.51,NA,29.75,26.98
"59","08-2011",NA,NA,NA,NA,"CR",17.65,NA,NA,NA,NA,NA,NA,NA,NA
"60","08-2012","CORDOVA AIRPORT",11.15,18.9,0.6,"CR",16.96,16.18,17.38,17.38,20.33,9.96,10.46,NA,NA
"61","08-2013","CORDOVA AIRPORT",12.35,20,2.2,"CR",18.05,18.1,20.9,17.95,17,17.48,12.69,NA,NA
"62","08-2014","CORDOVA AIRPORT",12.12,19.4,3.3,"CR",NA,18.08,23.58,18.14,NA,20.61,NA,NA,NA
"63","08-2015","CORDOVA AIRPORT",12.48,22.2,1.7,"CR",NA,20.46,20.03,NA,NA,22.49,NA,24.74,21.38
"64","08-2016","CORDOVA AIRPORT",13.06,26.7,2.8,"CR",NA,NA,21.77,NA,NA,18.34,NA,22.24,19.19
"65","08-2017","CORDOVA AIRPORT",12.03,25,2.2,"CR",NA,19.29,22.82,NA,26.59,12.73,NA,26.39,21
"66","08-2018","CORDOVA AIRPORT",12,22.2,2.2,"CR",NA,17.89,NA,NA,21.28,13.57,NA,22.43,20.33
"67","08-2019","CORDOVA AIRPORT",13.73,28.9,0.6,"CR",NA,NA,NA,NA,24.25,14.43,NA,25.9,23.48
"68","09-2011",NA,NA,NA,NA,"CR",13.19,9.46,11.86,10.37,NA,NA,NA,NA,NA
"69","09-2012","CORDOVA AIRPORT",8.78,17.2,-2.2,"CR",13.37,11.9,12.59,12.98,13.27,9.37,10.16,NA,NA
"70","09-2013","CORDOVA AIRPORT",9.87,17.2,-0.5,"CR",15.47,13.91,17.38,14.61,15.28,12.11,11.53,NA,NA
"71","09-2014","CORDOVA AIRPORT",10.15,17.8,-2.1,"CR",NA,13.4,NA,NA,NA,12.59,NA,NA,NA
"72","09-2015","CORDOVA AIRPORT",7.94,18.3,-3.8,"CR",NA,13.57,14.62,NA,NA,16.11,NA,19.66,15.95
"73","09-2016","CORDOVA AIRPORT",9.21,18.9,-2.7,"CR",NA,NA,20.06,NA,NA,11.66,NA,20.23,18.62
"74","09-2017","CORDOVA AIRPORT",9.49,17.8,0,"CR",NA,11.1,14.27,NA,15.09,10.42,NA,14.71,13.08
"75","09-2018","CORDOVA AIRPORT",10.16,23.9,-1,"CR",NA,14.03,NA,NA,18.9,11.69,NA,19.57,18.81
"76","09-2019","CORDOVA AIRPORT",10.55,19.4,-1,"CR",NA,NA,NA,NA,17.76,NA,NA,18.81,17.95
"77","10-2011",NA,NA,NA,NA,"CR",7.94,6.71,7.47,7.62,NA,NA,NA,NA,NA
